Year,Country,Region,Positive,Number,Percent,Genus,Antigen,Reference
1983,Benin,NONE,2,603,0.3,EBOV,SEBOV/ZEBOV,[995_996]
1983,Burkina_Faso,NONE,0,992,0,EBOV,SEBOV/ZEBOV,[996]
1978-1979,Cameroon,Moloundou,51,821,6.2,EBOV,EBOV,[1141]
1978-1979,Cameroon,Mbatika,20,70,29,EBOV,EBOV,[1141]
YEAR,Cameroon,MANY,147,1517,9.7,EBOV,EBOV,[314_377]
YEAR,Cameroon,MANY,NA,1517,0.6,MARV,MARV,[314_377]
1985,Cameroon,URBAN,7,375,1.9,EBOV,ZEBOV,[1956_1957]
1986,Cameroon,Maroua,NA,379,12.8,EBOV,SEBOV,[1345]
1986,Cameroon,Maroua,NA,379,7.7,EBOV,ZEBOV,[1345]
1993,Cote_d’Ivoire,Tai_National_Park,NA,257,NA,MARV,MARV,[998]
1994,Cote_d’Ivoire,Tai_National_Park,NA,13,NA,EBOV,EBOV,[867_1718]
1996,Cote_d’Ivoire,Tabou,NA,3300,NA,EBOV,EBOV,[867_1718]
1982–1983,Guinea,Madina-Ula_District,15,79,19,EBOV,ZEBOV,[353]
1982–1983,Guinea,Madina-Ula_District,11,138,8,EBOV,ZEBOV,[353]
1973,Liberia,Harbel_Bong-Town_Yekepa,124,592,21,MARV,MARV,[1878_#]
1973,Liberia,Harbel_Bong-Town_Yekepa,83,592,14,EBOV,EBOV,[1878_#]
YEAR,Liberia,Bong_County&Lofa_County,26,433,6,EBOV,EBOV,[1430]
YEAR,Liberia,Bong_County&Lofa_County,5,433,1,MARV,MARV,[1430]
1981-1982,Liberia,Grand_Bassa_County,30,225,13.3,EBOV,SEBOV/ZEBOV,[2623]
1981-1982,Liberia,Grand_Bassa_County,3,225,1.3,MARV,MARV,[2623]
YEAR,Liberia,NONE,63,348,18.1,MARV,MARV,[1196_1197_#]
YEAR,Liberia,NONE,37,348,10.6,EBOV,EBOV,[1196_1197_#]
YEAR,Nigeria,MANY,30,1677,1.8,EBOV,SEBOV/ZEBOV,[565_2551]
YEAR,Nigeria,MANY,29,1677,1.7,MARV,MARV,[565_2551]
1984,Senegal,MANY,149,650,22.9,EBOV,EBOV,[996_2215]
YEAR,Sierra_Leone,Mobai_Eastern_Province,19,64,30,FILO,ZEBOV/MARV,[2388]
YEAR,Sierra_Leone,Mobai_Eastern_Province,14,556,2.5,EBOV,ZEBOV,[2123_2391_2397]
YEAR,Sierra_Leone,Mobai_Eastern_Province,1,556,0.2,MARV,MARV,[2123_2391_2397]
YEAR,Togo,NA,NA,NA,NA,NA,NA,[998]
1985-1987,Cameroon,Mora_Maroua_and_Nkongsamba,89,1152,7.73,EBOV,EBOV,[997]
1985-1987,Central_African_Republic,Bangui,107,327,32.72,EBOV,EBOV,[997]
1985-1987,Chad,N’Djamena,12,334,3.59,EBOV,EBOV,[997]
1985-1987,Cameroon,Mora_Maroua_and_Nkongsamba,0,1152,0,MARV,MARV,[997]
1985-1987,Central_African_Republic,Bangui,0,327,0,MARV,MARV,[997]
1985-1987,Chad,N’Djamena,1,334,0.3,MARV,MARV,[997]
